,LAT,LONG,NUMBER_HYB,INDIVIDUAL1,TYPESNMF1,TYPESNAP1,INDIVIDUAL2,TYPESNMF2,TYPESNAP2,INDIVIDUAL3,TYPESNMF3,TYPESNAP3,CAMANO-PRESENT,CAMOLI-PRESENT,CAM-SUM,CAMHYBS
Z01,35.90463,-91.63537,2,CAMANO_0101,CAMANO-CAMOLI,NA,ETHSPE_0120,ETHSPE-ETHCAE,ETHSPE-ETHUNI,NA,NA,NA,1,0,1,1
Z02,36.09227,-91.75397,1,CAMANO_0201,CAMANO-CAMOLI,NA,NA,NA,NA,NA,NA,NA,1,0,1,1
Z03,36.20048,-91.759,1,CAMOLI_0301,CAMOLI-CAMANO,CAMANO-CAMOLI,NA,NA,NA,NA,NA,NA,1,1,2,1
Z04,36.38583,-91.80977,2,CAMOLI_0404,CAMOLI-NOTTEL,LYTUMB-CAMOLI,NA,NA,NA,NA,NA,NA,1,1,2,0
Z05,36.44377,-91.67055,1,LUXCHR_0501,LUXCHR-NOTNUB-LUXPIL,LYTUMB-LUXCHR,NA,NA,NA,NA,NA,NA,1,1,2,0
Z06,36.27342,-91.33447,3,CAMANO_0601,CAMANO-CAMOLI,NA,CYPGAL_0602,CYPGAL-CYPWHI,CYPGAL-CYPWHI,CYPGAL_0607,CYPGAL-CYPWHI,CYPGAL-CYPWHI,1,0,1,1
Z07,35.8711,-91.31063,1,NOTBOO_0709,NOTBOO-NOTNUB,NA,NA,NA,NA,NA,NA,NA,1,1,2,0
Z08,35.98673,-91.27977,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,2,0
Z09,36.05387,-91.31013,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,0
Z10,35.61367,-91.60728,2,CAMANO_1001,CAMANO-CAMOLI,NA,CAMANO_1002,CAMANO-CAMOLI,CAMANO-CAMOLI,NA,NA,NA,1,0,1,1
Z11,35.5444,-91.56472,3,CAMANO_1101,CAMANO-CAMOLI,NA,CAMANO_1102,CAMANO-CAMOLI,NA,CAMANO_1103,CAMANO-CAMOLI,NA,1,0,1,1
